Epoch,Training Loss,Validation Loss
1,0.34613946080207825,0.2146889865398407
2,0.2617266774177551,0.14642181992530823
3,0.20094573497772217,0.09587598592042923
4,0.14362841844558716,0.06746460497379303
5,0.11003219336271286,0.06833760440349579
6,0.11911964416503906,0.08606463670730591
7,0.1522037237882614,0.089238241314888
8,0.14957408607006073,0.07984130829572678
9,0.14476406574249268,0.07008044421672821
10,0.12045340240001678,0.06507450342178345
11,0.12607409060001373,0.0640767365694046
12,0.1044396311044693,0.06593111902475357
13,0.1208512932062149,0.06891154497861862
14,0.12299741804599762,0.07193128764629364
15,0.1115640178322792,0.07388860732316971
16,0.1337948739528656,0.07479742914438248
17,0.11884346604347229,0.07487108558416367
18,0.1334248036146164,0.0739198625087738
19,0.10219307243824005,0.07176286727190018
20,0.13109104335308075,0.0692862793803215
21,0.11920960992574692,0.06683199107646942
22,0.11029566079378128,0.06498133391141891
23,0.13871288299560547,0.0638098418712616
24,0.10716087371110916,0.06323020905256271
25,0.1009911596775055,0.06323342025279999
26,0.10896995663642883,0.06372237950563431
27,0.14062774181365967,0.06406091898679733
28,0.11495751142501831,0.06411159038543701
29,0.10835594683885574,0.06398182362318039
30,0.10646873712539673,0.0635470449924469
31,0.11241831630468369,0.06303876638412476
32,0.11044830083847046,0.06274224072694778
33,0.12014465034008026,0.06265652179718018
34,0.11073985695838928,0.06279167532920837
35,0.10745939612388611,0.06316853314638138
36,0.11181566119194031,0.06358464062213898
37,0.1382107138633728,0.06408374756574631
38,0.13548526167869568,0.06479288637638092
39,0.12288644909858704,0.06512437760829926
40,0.112921804189682,0.06528100371360779
41,0.13566415011882782,0.06520141661167145
42,0.12269202619791031,0.06485187262296677
43,0.11345528811216354,0.0641755536198616
44,0.10745658725500107,0.06346126645803452
45,0.139862060546875,0.06293726712465286
46,0.11112131923437119,0.06246073544025421
47,0.11950220167636871,0.06202477216720581
48,0.12237980961799622,0.0617595836520195
49,0.1338355392217636,0.06164320930838585
50,0.09811695665121078,0.06150944530963898
51,0.12129165232181549,0.06142450124025345
52,0.1183774471282959,0.06134999543428421
53,0.09622257947921753,0.06126614287495613
54,0.10532636195421219,0.06120318919420242
55,0.10863803327083588,0.06121917814016342
56,0.1306452751159668,0.06135691702365875
57,0.13194631040096283,0.0615704283118248
58,0.11678764224052429,0.0618005245923996
59,0.10282297432422638,0.06195305287837982
60,0.11510172486305237,0.06207343563437462
61,0.124936044216156,0.062296003103256226
62,0.08993275463581085,0.062086448073387146
63,0.09980405867099762,0.061615459620952606
64,0.11888419836759567,0.061216264963150024
65,0.10475800931453705,0.06075567752122879
66,0.12269427627325058,0.060479871928691864
67,0.11417926102876663,0.06031259894371033
68,0.09221266210079193,0.06022942066192627
69,0.10892324149608612,0.06022815406322479
70,0.10442805290222168,0.06024666130542755
71,0.11060909926891327,0.06014115735888481
72,0.11461269855499268,0.06000061333179474
73,0.11144725978374481,0.05998195707798004
74,0.12411077320575714,0.06010599434375763
75,0.10333257913589478,0.060341499745845795
76,0.1122111827135086,0.06062779948115349
77,0.11147938668727875,0.06089441105723381
78,0.09608587622642517,0.06103777140378952
79,0.12042438983917236,0.06067749112844467
80,0.11427682638168335,0.06025282293558121
81,0.1160256490111351,0.05987406522035599
82,0.10347025096416473,0.05973537638783455
83,0.10104530304670334,0.059475403279066086
84,0.09564261138439178,0.05928459018468857
85,0.11235977709293365,0.0592411607503891
86,0.11419796198606491,0.05930040031671524
87,0.1235179603099823,0.059312134981155396
88,0.13010559976100922,0.05914950370788574
89,0.10521900653839111,0.05895034968852997
90,0.11431583762168884,0.058888066560029984
91,0.1216961145401001,0.05917884036898613
